"id","lat","lon","division","district","upazila","union","depth","colour","as"
"EBG445","23.3819","89.6744","Dhaka","Faridpur","Boalmari","Gunbaha","56","Black","1"
"EBG450","23.3825","89.6745","Dhaka","Faridpur","Boalmari","Gunbaha","20","Red","44"
"EBG444","23.3816","89.6749","Dhaka","Faridpur","Boalmari","Gunbaha","38","Red","39"
"EBG452","23.3823","89.6749","Dhaka","Faridpur","Boalmari","Gunbaha","67","Black","0"
"EBG454","23.3829","89.6749","Dhaka","Faridpur","Boalmari","Gunbaha","64","Black","19"
"EBG449","23.3834","89.675","Dhaka","Faridpur","Boalmari","Gunbaha","59","Red","69"
"EBP460","23.3846","89.7264","Dhaka","Faridpur","Boalmari","Chatul","34","Red","199"
"EBP462","23.386","89.7286","Dhaka","Faridpur","Boalmari","Chatul","27","Red","167"
"EBP459","23.3851","89.7291","Dhaka","Faridpur","Boalmari","Chatul","24","Red","63"
"EBP457","23.3843","89.7304","Dhaka","Faridpur","Boalmari","Chatul","38","Red","36"
"ENR473","23.3892","89.7777","Dhaka","Faridpur","Saltha","Jadunandi","27","Red","691"
"ENR468","23.3929","89.7786","Dhaka","Faridpur","Saltha","Sonapur","76","Red","206"
"ENR469","23.3915","89.7793","Dhaka","Faridpur","Saltha","Jadunandi","24","Red","447"
"ENR470","23.39","89.7802","Dhaka","Faridpur","Saltha","Jadunandi","15","Red","61"
"ENR464","23.3948","89.7805","Dhaka","Faridpur","Saltha","Sonapur","24","Red","41"
"ENR466","23.3938","89.781","Dhaka","Faridpur","Saltha","Sonapur","24","Red","421"
"ENK474","23.3913","89.8194","Dhaka","Faridpur","Saltha","Majhardia","14","Red","186"
"ENK475","23.3916","89.8202","Dhaka","Faridpur","Saltha","Majhardia","11","Red","169"
"ENK477","23.3925","89.8217","Dhaka","Faridpur","Saltha","Majhardia","14","Red","161"
"ENK478","23.3929","89.8218","Dhaka","Faridpur","Saltha","Majhardia","15","Red","265"
"ENK479","23.3925","89.8224","Dhaka","Faridpur","Saltha","Majhardia","21","Red","280"
"ENK481","23.391","89.8245","Dhaka","Faridpur","Saltha","Majhardia","14","Red","271"
"ENP486","23.4113","89.8493","Dhaka","Faridpur","Saltha","Majhardia","21","Red","317"
"ENP484","23.4146","89.8494","Dhaka","Faridpur","Saltha","Majhardia","20","Red","327"
"ENP488","23.4137","89.8503","Dhaka","Faridpur","Saltha","Majhardia","15","Red","264"
"ENP492","23.415","89.851","Dhaka","Faridpur","Saltha","Majhardia","24","Red","288"
"ENP493","23.4133","89.8514","Dhaka","Faridpur","Saltha","Majhardia","15","Red","535"
"ENP491","23.4143","89.8516","Dhaka","Faridpur","Saltha","Majhardia","17","Red","367"
"ENP490","23.4132","89.8522","Dhaka","Faridpur","Saltha","Majhardia","33","Red","149"
"ENP489","23.4125","89.8523","Dhaka","Faridpur","Saltha","Majhardia","49","Red","160"
