Division,District,Upazila,Depth,Arsenic,Union,Village,SlNo
Chittagong,Lakshmipur,Lakshmipur Sadar,26,20,Kushakhali,East Kallyan pur,246
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,East Kallyan pur,247
Chittagong,Lakshmipur,Lakshmipur Sadar,26,70,Kushakhali,East Kallyan pur,248
Chittagong,Lakshmipur,Lakshmipur Sadar,26,70,Kushakhali,East Kallyan pur,249
Chittagong,Lakshmipur,Lakshmipur Sadar,36,30,Kushakhali,East Kallyan pur,250
Chittagong,Lakshmipur,Lakshmipur Sadar,26,300,Kushakhali,East Kallyan pur,251
Chittagong,Lakshmipur,Lakshmipur Sadar,29,60,Kushakhali,East Kallyan pur,252
Chittagong,Lakshmipur,Lakshmipur Sadar,26,40,Kushakhali,East Kallyan pur,253
Chittagong,Lakshmipur,Lakshmipur Sadar,26,30,Kushakhali,East Kallyan pur,254
Chittagong,Lakshmipur,Lakshmipur Sadar,35,10,Kushakhali,East Kallyan pur,255
Chittagong,Lakshmipur,Lakshmipur Sadar,36,30,Kushakhali,East Kallyan pur,256
Chittagong,Lakshmipur,Lakshmipur Sadar,36,70,Kushakhali,East Kallyan pur,257
Chittagong,Lakshmipur,Lakshmipur Sadar,36,300,Kushakhali,East Kallyan pur,258
Chittagong,Lakshmipur,Lakshmipur Sadar,46,200,Kushakhali,East Kallyan pur,259
Chittagong,Lakshmipur,Lakshmipur Sadar,45,30,Kushakhali,East Kallyan pur,260
Chittagong,Lakshmipur,Lakshmipur Sadar,36,40,Kushakhali,East Kallyan pur,261
Chittagong,Lakshmipur,Lakshmipur Sadar,45,10,Kushakhali,East Kallyan pur,262
Chittagong,Lakshmipur,Lakshmipur Sadar,800,0,Kushakhali,Modna,263
Chittagong,Lakshmipur,Lakshmipur Sadar,26,0,Kushakhali,Modna,264
Chittagong,Lakshmipur,Lakshmipur Sadar,25,0,Kushakhali,Kushakhali,265
Chittagong,Lakshmipur,Lakshmipur Sadar,25,10,Kushakhali,Modna,266
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Modna,267
Chittagong,Lakshmipur,Lakshmipur Sadar,25,0,Kushakhali,Modna,268
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Modna,269
Chittagong,Lakshmipur,Lakshmipur Sadar,26,100,Kushakhali,Modna,270
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Modna,271
Chittagong,Lakshmipur,Lakshmipur Sadar,25,10,Kushakhali,Modna,272
Chittagong,Lakshmipur,Lakshmipur Sadar,25,50,Kushakhali,Modna,273
Chittagong,Lakshmipur,Lakshmipur Sadar,26,50,Kushakhali,Modna,274
Chittagong,Lakshmipur,Lakshmipur Sadar,25,10,Kushakhali,Pukurdia,275
Chittagong,Lakshmipur,Lakshmipur Sadar,26,50,Kushakhali,Pukurdia,276
Chittagong,Lakshmipur,Lakshmipur Sadar,25,10,Kushakhali,Pukurdia,277
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Pukurdia,278
Chittagong,Lakshmipur,Lakshmipur Sadar,25,10,Kushakhali,Pukurdia,279
Chittagong,Lakshmipur,Lakshmipur Sadar,800,0,Kushakhali,Pukurdia,280
Chittagong,Lakshmipur,Lakshmipur Sadar,25,50,Kushakhali,Pukurdia,281
Chittagong,Lakshmipur,Lakshmipur Sadar,25,100,Kushakhali,Pukurdia,282
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Pukurdia,283
Chittagong,Lakshmipur,Lakshmipur Sadar,900,0,Kushakhali,Pukurdia,284
Chittagong,Lakshmipur,Lakshmipur Sadar,26,0,Kushakhali,Pukurdia,285
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Pukurdia,286
Chittagong,Lakshmipur,Lakshmipur Sadar,27,0,Kushakhali,Pukurdia,287
Chittagong,Lakshmipur,Lakshmipur Sadar,26,40,Kushakhali,Pukurdia,288
Chittagong,Lakshmipur,Lakshmipur Sadar,700,0,Kushakhali,Pukurdia,289
Chittagong,Lakshmipur,Lakshmipur Sadar,700,0,Kushakhali,Pukurdia,290
Chittagong,Lakshmipur,Lakshmipur Sadar,27,10,Kushakhali,Pukurdia,291
Chittagong,Lakshmipur,Lakshmipur Sadar,25,10,Kushakhali,Pukurdia,292
Chittagong,Lakshmipur,Lakshmipur Sadar,25,50,Kushakhali,Pukurdia,293
Chittagong,Lakshmipur,Lakshmipur Sadar,800,0,Kushakhali,Pukurdia,294
Chittagong,Lakshmipur,Lakshmipur Sadar,800,0,Kushakhali,Pukurdia,295
Chittagong,Lakshmipur,Lakshmipur Sadar,800,0,Kushakhali,Pukurdia,296
Chittagong,Lakshmipur,Lakshmipur Sadar,25,10,Kushakhali,Pukurdia,297
Chittagong,Lakshmipur,Lakshmipur Sadar,27,0,Kushakhali,Pukurdia,298
Chittagong,Lakshmipur,Lakshmipur Sadar,25,50,Kushakhali,Pukurdia,299
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Pukurdia,300
Chittagong,Lakshmipur,Lakshmipur Sadar,33,10,Kushakhali,Pukurdia,301
Chittagong,Lakshmipur,Lakshmipur Sadar,25,10,Kushakhali,Pukurdia,302
