id,Division,District,Upazila,Union,Mouza,Depth,Arsenic,lon,lat
0,Barisal,Barisal,Barisal Sadar (Kotwali),Kashipur,Baghia,292,42.8,90.352,22.715
0,Chittagong,Lakshmipur,Ramgati,Char Bedama,Paschim Char Sita,9,15.3,90.911,22.697
0,Khulna,Bagerhat,Fakirhat,Betaga,Joypur Betaga,23,15,89.635,22.709
0,Chittagong,Lakshmipur,Ramgati,Char Alexandar,Char Alexandar,9,20.4,90.92,22.651
0,Khulna,Khulna,Dumuria,Sarappur,Britti Bhulbaria,43,36.2,89.434,22.698
0,Khulna,Bagerhat,Kachua,Dhopakhali,Purba Pipuljuri,14,16.4,89.865,22.689
0,Barisal,Pirojpur,Pirojpur Sadar,Sikdar Mallik,Sikdar Mallik Ganak P,19,42,89.963,22.683
0,Barisal,Jhalokati,Jhalokati Sadar,Kirtipasha,Gabindadhabal,20,14,90.175,22.68
0,Barisal,Jhalokati,Jhalokati Sadar,Jhalokati Paurashava, ,17,15.4,90.181,22.64
0,Khulna,Bagerhat,Kachua,Kachua,Char Kachua,24,18.8,89.882,22.651
0,Barisal,Jhalokati,Nalchity,Bharabpasha,Lakshmankati,15,16,90.231,22.647
0,Chittagong,Noakhali,Subarnachar,Char Bata,Char Bata,11,39.3,91.13,22.635
0,Barisal,Jhalokati,Nalchity,Paurashava, ,18,29.4,90.278,22.637
0,Khulna,Satkhira,Satkhira Sadar,Fingri,Gobardair,12,40.1,89.122,22.628
0,Chittagong,Chittagong,Sitakunda,Muradpur,Muradpur,140,12.6,91.652,22.602
0,Khulna,Khulna,Dacope,Bajua,Chunkuri-2,33,15.8,89.518,22.587
0,Barisal,Pirojpur,Kawkhali,Kawkhali,Gosantara,14,26.4,90.082,22.604
0,Khulna,Bagerhat,Rampal,Rampal,Jhanjhania,15,37.6,89.641,22.597
0,Khulna,Bagerhat,Morrelganj,Hogla Pasha,Hogla Pasha,29,27.2,89.959,22.583
0,Khulna,Khulna,Dacope,Chalna Paurashava,Baruikhali,41,12,89.499,22.576
0,Chittagong,Chittagong,Sitakunda,Barabkunda,Nayakhali,10,16.4,91.68,22.574
0,Barisal,Pirojpur,Pirojpur Sadar,Paurashava, ,19,12.1,89.966,22.58
0,Barisal,Pirojpur,Kawkhali,Shialkati,Shialkati,17,11.6,90.057,22.575
0,Barisal,Jhalokati,Rajapur,Rajapur,Rajapur,12,17,90.148,22.568
0,Khulna,Bagerhat,Mongla,Burirdanga,Bidyarbon Digraj,13,14,89.59,22.532
0,Barisal,Jhalokati,Rajapur,Saturia,Uttar Tarabunia,13,20.1,90.086,22.555
0,Barisal,Pirojpur,Pirojpur Sadar,Shankarpasha,Shankarpasha,33,14.5,89.983,22.55
0,Barisal,Barisal,Bakerganj,Bhar Pasha,Bhar Pasha (Part),17,26,90.342,22.532
0,Khulna,Satkhira,Kaliganj,Tarali,Tarali,10,24,89.059,22.49
0,Khulna,Satkhira,Kaliganj,Bhara Simla,Bhara Simla,20,24.5,89.011,22.483
0,Khulna,Bagerhat,Morrelganj,Morrelganj Paurashava,Morrelganj,13,30.2,89.859,22.456
0,Khulna,Satkhira,Kaliganj,Dhalbaria,Gandulia,24,15.4,89.015,22.392
0,Khulna,Satkhira,Kaliganj,Ratanpur,Goalpota,15,18.5,89.031,22.376
0,Barisal,Patuakhali,Patuakhali Sadar,Patuakhali Paurashava, ,17,11.8,90.352,22.357
0,Khulna,Satkhira,Shyamnagar,Nurnagar,Nurnagar,9,17.4,89.04,22.333
0,Khulna,Bagerhat,Sarankhola,Royenda,Royenda,10,24.8,89.854,22.313
0,Chittagong,Chittagong,Anowara,Barasat,Boalia,39,34,91.835,22.182
0,Barisal,Patuakhali,Kala Para,Lata Chapli,Lata Chapli,266,12.9,90.126,21.816
0,Barisal,Patuakhali,Kala Para,Lata Chapli,Lata Chapli,9,17.4,90.124,21.814
0,Chittagong,Cox'S Bazar,Chakaria,Chiringa,Kahariaghona,22,12.9,92.07,21.753
0,Rangpur,Rangpur,Mitha Pukur,Balarhat,Buzruk Jhalai,29,46.3,89.3547,25.59
0,Rangpur,Kurigram,Nageshwari,Kachakata,Indragar,32,62.9,89.8069,25.9717
0,Rangpur,Kurigram,Kurigram Sadar,Mogalbachha,Krishnapur (Part),147,49.9,89.6409,25.8063
0,Rangpur,Kurigram,Rajarhat,Chakirpashar,Khulia Tari,14,68,89.553,25.7982
0,Rangpur,Kurigram,Raumari,Bandaber,Purar Char,33,71,89.8391,25.6168
0,Rangpur,Kurigram,Raumari,Raumari,Raumari,31,69.6,89.8385,25.568
0,Rangpur,Gaibandha,Sadullapur,Damodarpur,Bhangamor,13,84.1,89.4481,25.4382
0,Rangpur,Gaibandha,Sadullapur,Banagram,Habibullahpur,18,72.4,89.469,25.3755
0,Rangpur,Gaibandha,Gaibandha Sadar,Saha Para,Chakchaka,30,84,89.4341,25.3135
0,Rangpur,Gaibandha,Gobindaganj,Fulbari,Digdair,28,54.4,89.4155,25.1542
0,Rangpur,Gaibandha,Gobindaganj,Kochasahar,Kochasahar,18,45.2,89.4325,25.0993
0,Rangpur,Dinajpur,Birganj,Palashbari,Bhandarai,24,54.2,88.6286,26.0203
0,Rangpur,Dinajpur,Birganj,Mohammadpur,Mohanpur,24,50.9,88.5345,25.9122
0,Mymensingh,Sherpur,Nalitabari,Poragaon,Batkuchi,11,56.1,90.1624,25.1826
0,Mymensingh,Sherpur,Nalitabari,Nunni,Nunni,41,49.7,90.1284,25.1601
0,Mymensingh,Sherpur,Jhenaigati,Gauripur,Bangaon,37,46.1,90.0887,25.1531
0,Mymensingh,Sherpur,Nalitabari,Nayabil,Andhar Para,49,137,90.1918,25.1376
0,Mymensingh,Sherpur,Sreebardi,Bhelua,Bhelua,24,99.5,89.9278,25.106
0,Mymensingh,Sherpur,Sherpur Sadar,Char Mucharia,Muksedpur,14,115,89.9563,24.9887
0,Mymensingh,Sherpur,Nakla,Baneshwardi,Baneshwardi,22,54.4,90.1519,24.9531
0,Mymensingh,Netrakona,Kalmakanda,Lengura,Shibpur,41,60.1,90.7819,25.1537
0,Mymensingh,Netrakona,Kalmakanda,Kharnai,Lakshmipur,69,87,90.8244,25.1117
0,Mymensingh,Netrakona,Durgapur,Chandigarh,Singpur,85,47.3,90.7932,25.0864
0,Mymensingh,Netrakona,Kalmakanda,Kalmakanda,Basaura,90,134,90.8811,25.0736
0,Mymensingh,Netrakona,Kalmakanda,Bara Kharpan,Bara Kharpan,82,87.6,90.9349,25.0324
0,Mymensingh,Netrakona,Kalmakanda,Pogla,Pabai,82,54.4,90.8584,25.0241
0,Mymensingh,Netrakona,Mohanganj,Baratali Banihari,Samaikona,114,79.4,91.0146,24.8955
0,Mymensingh,Netrakona,Mohanganj,Mohanganj Paurashava, ,110,83,90.9687,24.8641
0,Mymensingh,Netrakona,Mohanganj,Barkashia Birampur,Birampur,106,52.3,90.9455,24.8657
0,Mymensingh,Netrakona,Mohanganj,Tentulia,Tentulia,98,145,91.0468,24.8459
0,Mymensingh,Netrakona,Mohanganj,Gaglajore,Barantar,107,105,91.0677,24.786
